date,industry,unemployment_rate,tariff_rate,post_treatment,lobbying_index
2013-11-01,Information,6.4,0.5,0,7.5
2013-12-01,Information,4.8,0.5,0,7.5
2014-01-01,Information,6.6,0.5,0,7.5
2014-02-01,Information,4.8,0.5,0,7.5
2014-03-01,Information,5.1,0.5,0,7.5
2014-04-01,Information,5.7,0.5,0,7.5
2014-05-01,Information,5.5,0.5,0,7.5
2014-06-01,Information,5.2,0.5,0,7.5
2014-07-01,Information,4.5,0.5,0,7.5
2014-08-01,Information,4.5,0.5,0,7.5
2014-09-01,Information,4.4,0.5,0,7.5
2014-10-01,Information,4.7,0.5,0,7.5
2014-11-01,Information,5.6,0.5,0,7.5
2014-12-01,Information,5.7,0.5,0,7.5
2015-01-01,Information,4.4,0.5,0,7.5
2015-02-01,Information,4.5,0.5,0,7.5
2015-03-01,Information,3,0.5,0,7.5
2015-04-01,Information,3.2,0.5,0,7.5
2015-05-01,Information,3.3,0.5,0,7.5
2015-06-01,Information,3.9,0.5,0,7.5
2015-07-01,Information,4.1,0.5,0,7.5
2015-08-01,Information,5.2,0.5,0,7.5
2015-09-01,Information,4.7,0.5,0,7.5
2015-10-01,Information,3,0.5,0,7.5
2015-11-01,Information,4.3,0.5,0,7.5
2015-12-01,Information,2.9,0.5,0,7.5
2016-01-01,Information,4.6,0.5,0,7.5
2016-02-01,Information,3.7,0.5,0,7.5
2016-03-01,Information,4.4,0.5,0,7.5
2016-04-01,Information,4.8,0.5,0,7.5
2016-05-01,Information,5.2,0.5,0,7.5
2016-06-01,Information,4.7,0.5,0,7.5
2016-07-01,Information,5.7,0.5,0,7.5
2016-08-01,Information,5,0.5,0,7.5
2016-09-01,Information,5.2,0.5,0,7.5
2016-10-01,Information,4.1,0.5,0,7.5
2016-11-01,Information,4.2,0.5,0,7.5
2016-12-01,Information,3.1,0.5,0,7.5
2017-01-01,Information,4.9,0.5,0,7.5
2017-02-01,Information,3.9,0.5,0,7.5
2017-03-01,Information,4,0.5,0,7.5
2017-04-01,Information,4.1,0.5,0,7.5
2017-05-01,Information,4.7,0.5,0,7.5
2017-06-01,Information,4.8,0.5,0,7.5
2017-07-01,Information,4.3,0.5,0,7.5
2017-08-01,Information,5.1,0.5,0,7.5
2017-09-01,Information,5.1,0.5,0,7.5
2017-10-01,Information,3.9,0.5,0,7.5
2017-11-01,Information,5.2,0.5,0,7.5
2017-12-01,Information,3.8,0.5,0,7.5
2018-01-01,Information,5.3,0.5,0,7.5
2018-02-01,Information,3.2,0.5,0,7.5
2018-03-01,Information,4.1,0.5,0,7.5
2018-04-01,Information,2.3,0.5,0,7.5
2018-05-01,Information,3.5,0.5,0,7.5
2018-06-01,Information,4.6,0.5,0,7.5
2018-07-01,Information,4.2,0.5,0,7.5
2018-08-01,Information,3.5,0.5,0,7.5
2018-09-01,Information,2.3,0.5,0,7.5
2018-10-01,Information,3.2,0.5,0,7.5
2018-11-01,Information,3.8,0.5,0,7.5
2018-12-01,Information,3.9,0.5,0,7.5
2019-01-01,Information,4.7,0.5,0,7.5
2019-02-01,Information,4.1,0.5,0,7.5
2019-03-01,Information,4,0.5,0,7.5
2019-04-01,Information,3.5,0.5,0,7.5
2019-05-01,Information,3,0.5,0,7.5
2019-06-01,Information,2.7,0.5,0,7.5
2019-07-01,Information,3.9,0.5,0,7.5
2019-08-01,Information,4.7,0.5,0,7.5
2019-09-01,Information,4.4,0.5,0,7.5
2019-10-01,Information,3.3,0.5,0,7.5
2019-11-01,Information,1.6,0.5,0,7.5
2019-12-01,Information,1.9,0.5,0,7.5
2020-01-01,Information,2.3,0.5,0,7.5
2020-02-01,Information,2.6,0.5,0,7.5
2020-03-01,Information,1.8,0.5,0,7.5
2020-04-01,Information,11,0.5,0,7.5
2020-05-01,Information,10.9,0.5,0,7.5
2020-06-01,Information,12,0.5,0,7.5
2020-07-01,Information,12.3,0.5,0,7.5
2020-08-01,Information,8.6,0.5,0,7.5
2020-09-01,Information,8.6,0.5,0,7.5
2020-10-01,Information,5.8,0.5,0,7.5
2020-11-01,Information,8.2,0.5,0,7.5
2020-12-01,Information,6.4,0.5,0,7.5
2021-01-01,Information,7.4,0.5,0,7.5
2021-02-01,Information,6.2,0.5,0,7.5
2021-03-01,Information,6.6,0.5,0,7.5
2021-04-01,Information,5.9,0.5,0,7.5
2021-05-01,Information,5.8,0.5,0,7.5
2021-06-01,Information,6.1,0.5,0,7.5
2021-07-01,Information,5.6,0.5,0,7.5
2021-08-01,Information,4.4,0.5,0,7.5
2021-09-01,Information,4,0.5,0,7.5
2021-10-01,Information,3.5,0.5,0,7.5
2021-11-01,Information,4.1,0.5,0,7.5
2021-12-01,Information,4.9,0.5,0,7.5
2022-01-01,Information,4.2,0.5,0,7.5
2022-02-01,Information,3.7,0.5,0,7.5
2022-03-01,Information,2.3,0.5,0,7.5
2022-04-01,Information,2.7,0.5,0,7.5
2022-05-01,Information,2.9,0.5,0,7.5
